Name,stat_v,relax_v,dual_v,dual_gap,pc_v,pc_gap,pc_time,bc_v,bc_gap,bc_time,PR,PR_bc
1600_USA-road-d.NY.gr,53855.0,59686.86393939395,66475.47,10.21,61932.26,4.0,243.1619999408722,66475.47,10.21,116.91299986839294,13.0,19.0
1700_USA-road-d.BAY.gr,58405.0,60029.552835600814,94122571.69,99.94,59659.66,-1.0,318.0629999637604,,6003055.28,131.643000125885,2.0,
1700_USA-road-d.COL.gr,32664.0,33457.80115040808,,,32664.0,-2.0,226.19700002670288,42092.17,20.51,145.507000207901,0.0,22.0
1700_USA-road-d.NY.gr,53855.0,59469.65219898422,66475.47,10.54,61932.26,4.0,234.614000082016,66475.47,10.54,128.08200001716614,13.0,19.0
1800_USA-road-d.BAY.gr,60038.0,61776.96759417045,72086.61,14.3,60359.0,-2.0,322.79699993133545,,6177796.76,121.49100017547607,1.0,
1800_USA-road-d.COL.gr,34075.0,34142.43466666667,,,32664.0,-5.0,359.60400009155273,,3414343.47,117.91700005531312,-4.0,
1800_USA-road-d.NY.gr,56484.0,59633.97552046176,69098.25,13.7,62869.26,5.0,204.94599986076355,69098.25000000001,13.7,130.15100002288818,10.0,18.0
1900_USA-road-d.BAY.gr,64697.0,68945.26295407407,110955966.6,99.94,65789.52,-5.0,309.66799998283386,,6894626.3,118.4559998512268,2.0,
1900_USA-road-d.COL.gr,34075.0,34277.72347826087,,,42506.0,19.0,305.3430001735687,,3427872.35,126.28000020980836,20.0,
1900_USA-road-d.NY.gr,56484.0,59398.60302898921,129772866.5,99.95,62869.26,6.0,201.11500000953677,69098.25,14.04,119.09100008010864,10.0,18.0
2000_USA-road-d.BAY.gr,56536.0,61445.322498062415,123222381.0,99.95,59788.63,-3.0,346.02999997138977,,6144632.25,115.5239999294281,5.0,
2000_USA-road-d.COL.gr,39443.0,40850.41442492096,,,40803.0,-0.0,258.55999994277954,48598.55,15.94,131.06200003623962,3.0,19.0
2000_USA-road-d.NY.gr,49331.0,53939.32240071789,140643569.6,99.96,50123.96,-8.0,344.46799993515015,,5394032.24,120.03800010681152,2.0,
2100_USA-road-d.BAY.gr,60789.0,63452.81895893028,129753150.1,99.95,61817.16,-3.0,309.65199995040894,,6345381.9,139.33899998664856,2.0,
2100_USA-road-d.COL.gr,35568.0,35485.30387587822,,,34157.0,-4.0,339.9190001487732,,3548630.39,125.80399990081789,-4.0,
2100_USA-road-d.NY.gr,62119.0,83985.58409765142,,,63606.97,-32.0,305.16999983787537,,8398658.41,155.1599998474121,2.0,
2200_USA-road-d.BAY.gr,68443.0,71464.84361336828,139943653.0,99.95,68443.0,-4.0,341.62000012397766,,7146584.36,138.94000005722046,0.0,
2200_USA-road-d.COL.gr,39310.0,41215.7256385697,,,39310.0,-5.0,184.4119999408722,48962.92999999999,15.82,134.22800016403198,0.0,20.0
2200_USA-road-d.NY.gr,53650.0,55288.25451747619,,,53650.0,-3.0,330.74900007247925,,5528925.45,126.40400004386902,0.0,
2300_USA-road-d.BAY.gr,65829.0,69140.72834128136,,,66823.84,-3.0,310.2079999446869,,6914172.83,146.38499999046326,1.0,
2300_USA-road-d.COL.gr,40803.0,41116.61444335375,,,40803.0,-1.0,731.4629998207091,48598.55,15.4,182.47300004959104,0.0,16.0
2300_USA-road-d.NY.gr,53650.0,59816.63296934863,,,57465.0,-4.0,307.84500002861023,,5981763.3,145.35399985313416,7.0,
2400_USA-road-d.BAY.gr,65317.0,68285.64852163775,,,66311.84,-3.0,335.6909999847412,,6828664.85,170.58899998664856,2.0,
2400_USA-road-d.COL.gr,39443.0,40907.25304189808,,,40803.0,-0.0,697.9609999656677,,4090825.3,194.8349997997284,3.0,
2400_USA-road-d.NY.gr,60819.0,65399.72052828461,,,67217.32,3.0,309.9579999446869,,6540072.05,155.25499987602234,10.0,
2500_USA-road-d.BAY.gr,62022.0,64707.73908853506,,,73166.79000000001,12.0,318.4379999637604,,6470873.91,154.78700017929077,15.0,
2500_USA-road-d.COL.gr,39696.0,41050.96725393098,,,-1.0,4105197.0,-1.0,47977.9,14.44,197.90000009536743,17.0,17.0
2500_USA-road-d.NY.gr,60819.0,63643.76748251748,,,72794.16,13.0,333.0019998550415,,6364476.75,157.27600002288818,16.0,
